pChEMBL Value,Canomicalsmiles
4.88,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2
5.82,COc1ccc(/C=C/c2cccc(NC(=O)Nc3ccc(Cl)cc3)c2)cc1
4.29,CC(=O)OC[C@@H]1[C@H]2COC3(CC=C(C)C)C(=O)[C@@H]1C=C1C(=O)c4c(cc(O)c(CC=C(C)C)c4O)O[C@]123
4.28,O=C(COc1ccc(F)cc1)Nc1nc(-c2ccc(Br)cc2)cs1
4.52,Nc1nn(CC(=O)NC(Cc2ccccc2)C(=O)O)c2nc(-c3ccccc3)cc(C(F)(F)F)c12
5.92,Cc1ccc(Oc2nc3ccc(C)cc3cc2/C=N/NC(=O)Cn2c([N+](=O)[O-])cnc2C)cc1
5.11,O=C(/C=C/c1ccc(/C=N/c2cccc([N+](=O)[O-])c2)cc1)c1cccc2c1C(=O)c1ccccc1C2=O
4.66,CC(=O)Nc1ccc2c(c1)/C(=N\O)C(c1c[nH]c3ccc(NC(C)=O)cc13)=N2
6.09,COc1ccc(/C=C/C(=O)Nc2cc(-c3ccc(Br)cc3)[nH]n2)cc1
5.31,CC1CCN(c2ccc(Nc3ncc4c(n3)n(C3CCCC3)c(=O)c3nnnn34)cc2)CC1
4.61,C=C1C(=O)O[C@@H]2[C@@H](OC(=O)[C@H](C)CC)[C@@](C)(O)CCC[C@@H](C)C(=O)C[C@@H]12
5.11,O=C1Nc2ccc([N+](=O)[O-])cc2C12c1c(-c3ccccc3)n[nH]c1Nc1[nH]c(=O)[nH]c(=O)c12
5.13,COc1ccc(-c2nn(-c3ccccc3)cc2/C=C\C(=O)Nc2ccc(Br)cc2)cc1
5.09,C/C=C/C(=O)Nc1cc2c(N3CCCc4ccccc43)ncnc2cc1OC
4.63,Fc1ccc(-n2cc(COc3ccccc3-c3nc4ccccc4s3)nn2)cc1
4.94,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C/C(=N/O)[C@@H]4[C@@H](O)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
5.36,C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)nc3ccsc23)c1
4.7,C[C@H]1[C@H](N2CCN(C(=O)Nc3ccc(OC(F)(F)F)cc3)CC2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
5.04,CC1=NN(c2ccccc2)C(=O)[C@]12C(=O)C=CC[C@@H]2c1ccccc1
4.76,COC1=CC2C3C=CC(C2[C@@]2(CO2)C1=O)[C@@]1(CO1)C3=O
4.85,COc1cc(C)c(Cl)c(O)c1C(=O)c1c(C=O)c(O)cc(O)c1CC=C(C)C
4.66,C[S+]([O-])CCCCN=C=S
4.71,O=c1ccc2ccc(OCc3cn(-c4ccc(S(=O)(=O)NCCc5ccccc5)cc4)nn3)cc2o1
5.92,COc1cc(/C=C2\CNC/C(=C\c3cc(OC)c(OC)c(OC)c3)C2=O)cc(OC)c1OC
6.62,COc1ccc(C(=O)C[n+]2cn(C)c3c2C(=O)c2ccccc2C3=O)cc1.[Br-]
4.41,CCCCc1c(OC)cc(=O)oc1C
4.33,O=C(Nc1nnc(-c2ccc(O)c(O)c2)s1)c1ccc(/C=C/C(=O)c2ccccc2F)cc1
4.69,CC(=O)Nc1c(C#N)ncn1Cc1ccccc1Cl
5.38,Cc1c2[nH]c3ccccc3c2cc[n+]1CCCCCC[n+]1ccc2c([nH]c3ccccc32)c1C.[Br-].[Br-]
4.45,COc1ccc(/C=C\C(=O)O)c(OCc2cn(-c3ccc(CC#N)cc3)nn2)c1CC=C(C)C
5.28,Cc1ccc(NC(=O)CCC(=O)OCCCCCCSc2ccc([N+](=O)[O-])c3nonc23)cc1
4.37,C=CCCCCOc1ncc(-c2cccc(OC)c2OC)n1C
6.08,COc1ccc([C@@H](CC(=O)N[C@@H](CC(C)C)B(O)O)NC(=O)c2ccccc2)cc1
5.36,O=C1OCC2=C1C(c1ccc(-c3ccc(-c4ccc(F)cc4)cc3)cc1)c1cc3[nH]ccc3cc1N2
5.21,COc1ccc2c(c1)/C(=N\O)C(c1c[nH]c3ccc(OC)cc13)=N2
4.89,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C1=C[C@H]3C(=O)C4(CC=C(C)C)OC[C@H]([C@H]3COC(C)C)[C@]14O2
5.42,CC(C)=CCC12OC[C@@H]3C[C@@H](C=C4C(=O)c5c(O)cccc5O[C@]431)C2=O
5.41,CN(C)CCN1C(=O)c2cccc3cc(NC=O)cc(c23)C1=O
5.18,COc1cc(OC)c2c(NC3CCCCC3)cc(-c3ccccc3)nc2c1
4.07,CC1(C)CC[C@]23CO[C@@]4(CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O)[C@H](O)[C@H]7O)[C@@](C)(CO)[C@@H]6CC[C@@]5(C)[C@]4(C)CC2=O)[C@@H]3C1
4.7,COc1cccc(Nc2nc3c(c(Oc4cccc(NC(=O)C=C(C)C)c4)n2)CSCC3)c1
4.59,O=C(CCCCCC(=O)Nc1ccc(O)c(C(=O)Nc2cccc(C(F)(F)F)c2)c1)NO
