pChEMBL Value,Canomicalsmiles
0.0,Cc1ncc([N+](=O)[O-])n1CCOC(=O)NC(n1cnc2ccccc21)C(Cl)(Cl)Cl
1.0,COc1cc(C(=O)/C=C/c2ccc(OC)c(O)c2)cc(OC)n1
1.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
0.0,COc1ccc(-c2cccc(-c3cc(OC)c(OC)c(OC)c3)n2)cc1OCCCCCC(=O)NO
0.0,COc1cc(-c2nccn2-c2ccc(Br)cc2)cc(OC)c1OC
1.0,COc1cc(-n2cnc3ccc(-c4cccc(N)c4)cc32)cc(OC)c1OC
1.0,COc1cc(Nc2cc(Nc3cccc(NC(=O)C4CC4)c3)ncn2)ccc1F
1.0,COc1ccc(CNC(=O)c2cc([N+](=O)[O-])ccc2N2CCSCC2)cc1O
1.0,N#Cc1cccc(-c2ccc(C(=O)c3ccccc3)cc2)c1
1.0,CCOC(=O)CN(c1cc(OC)c(OC)c(OC)c1)S(=O)(=O)c1ccc(OC)cc1
1.0,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
1.0,CC(C)Oc1ccc(N(C)c2nc(Cl)nc3cnn(C)c23)cc1
1.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
1.0,CCOc1ccc(-c2cncnc2-c2cc(OC)c(OC)c(OC)c2)cc1
0.0,COC(=O)c1c(Nc2cc(OC)c(OC)c(OC)c2)c2cc(OC)ccc2n1C
0.0,Cc1c(Cl)nc(NC(NC(=O)OCCn2c([N+](=O)[O-])cnc2C)C(Cl)(Cl)Cl)nc1Cl
0.0,CCOC(=O)CNC(=O)Nc1ccc(S(=O)(=O)Oc2cccc(F)c2)cc1
1.0,COc1ccc2c(c1)NC(=O)CN2c1nc(Cl)nc2ncccc12
1.0,COc1cccc(Nc2cc(Nc3cccc(NC(=O)C4CC4)c3)ncn2)c1
1.0,COc1cccc(Nc2cc(Nc3cccc(NS(=O)(=O)C4CC4)c3)ncn2)c1
0.0,COc1cc(/C=C/C(=O)N2CCN(c3cc(Sc4nc5ccccc5[nH]4)nc(N)n3)CC2)cc(OC)c1OC
0.0,CC(C)=CC[C@@H](OC(=O)CCCC[C@@H]1CCSS1)C1=CC(=O)c2c(O)ccc(O)c2C1=O
1.0,COc1cc(C(=O)c2cc(-c3ccc(C)cc3)ccn2)cc(OC)c1OC
1.0,O=C1OC[C@@H]2Cc3cc4c(cc3[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)N12)OCCO4
1.0,CCOc1ccc(-c2cncnc2-c2cc(OC)c(OC)c(OC)c2)cc1Cl
0.0,Cc1c(-c2ccccc2)[nH]c2c(CNC(=O)CN3C(=O)CNC3=O)cc(Cl)cc12
0.0,N#C/C(=C\c1c[nH]c2ccccc12)c1nc2ccccc2n1-c1ccccc1
1.0,COc1cc(N2C(=O)[C@H](CO)[C@@H]2c2ccc([Se]C)cc2)cc(OC)c1OC
0.0,COc1cc(-n2cccc2-c2ccc(C)cc2)cc(OC)c1OC
0.0,COc1ccc2c(c1)CCC(C(=O)c1ccc(OC)c(OC)c1O)C2
0.0,COc1ccc(C=CC(=O)c2cc(OC)c(OC)c(OC)c2)cc1OC(=O)c1cccc(Cn2cc(CCOC(=O)[C@H](N)Cc3cn(C)c4ccccc34)nn2)c1
0.0,O=C(Nc1cccnc1Nc1ccccc1)c1cn(Cc2ccc(F)cc2)nn1
1.0,CCCCCCCCCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21
1.0,COc1ccc(CNC(=O)c2cc(Cl)ccc2N2CCOCC2)cc1O
1.0,COCCOCCOC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21
1.0,O=C(N/N=C/c1ccc(Cl)o1)c1[nH]c2ccc(Br)cc2c1-c1ccccc1
0.0,O=C(Nc1ccccc1)C(=O)Nc1c[nH]c2ccccc12
1.0,COc1cc2c(c(OC)c1OC)-c1ccc(OCc3ccc(/C=C/c4ccc5ccccc5c4)cc3)c(=O)cc1[C@@H](NC(C)=O)CC2
1.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
0.0,COc1ccc(Nc2nc3nccc(-c4cc(OC)c(OC)c(OC)c4)n3n2)cc1OC
0.0,N#C/C(=C\c1cccnc1)c1nc2ccccc2n1-c1ccccc1
0.0,CCOc1ccccc1C(=O)N1CC(=O)Nc2ccc(F)cc2C1c1ccccc1
0.0,COc1ccc(-c2cccc(-c3ccc(OC)c(OCCCCCC(=O)NO)c3)n2)c(OC)c1
0.0,COc1cc(-c2cc(-c3cnn(C)c3)nc(-n3cc(/C=C/C(=O)c4ccccc4)cn3)n2)cc(OC)c1OC
